CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     1.762MiB / 1GiB     0.17%     23.9kB / 9.06kB   0B / 24.6kB      5
b2e296a96561   mysql_db                                       0.90%     371.1MiB / 512MiB   72.47%    28.4kB / 8.64kB   459kB / 15.2MB   41
3ddf6b553d50   redis                                          0.23%     2.645MiB / 256MiB   1.03%     21.1kB / 726B     0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     1.578MiB / 2GiB     0.08%     19.8kB / 0B       0B / 4.1kB       9
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     1.762MiB / 1GiB     0.17%     23.9kB / 9.13kB   0B / 24.6kB      5
b2e296a96561   mysql_db                                       0.97%     371.1MiB / 512MiB   72.47%    28.4kB / 8.71kB   459kB / 15.2MB   41
3ddf6b553d50   redis                                          0.23%     2.645MiB / 256MiB   1.03%     21.1kB / 726B     0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     1.578MiB / 2GiB     0.08%     19.8kB / 0B       0B / 4.1kB       9
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     1.762MiB / 1GiB     0.17%     23.9kB / 9.13kB   0B / 24.6kB      5
b2e296a96561   mysql_db                                       0.97%     371.1MiB / 512MiB   72.47%    28.4kB / 8.71kB   459kB / 15.2MB   41
3ddf6b553d50   redis                                          0.19%     2.645MiB / 256MiB   1.03%     21.1kB / 726B     0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     1.578MiB / 2GiB     0.08%     19.8kB / 0B       0B / 4.1kB       9
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     1.762MiB / 1GiB     0.17%     24kB / 9.21kB     0B / 24.6kB      5
b2e296a96561   mysql_db                                       0.81%     371.1MiB / 512MiB   72.47%    28.5kB / 8.79kB   459kB / 15.2MB   41
3ddf6b553d50   redis                                          0.17%     2.645MiB / 256MiB   1.03%     21.1kB / 726B     0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     1.578MiB / 2GiB     0.08%     19.8kB / 0B       0B / 4.1kB       9
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            5.56%     5.93MiB / 1GiB      0.58%     291kB / 175kB   0B / 24.6kB      11
b2e296a96561   mysql_db                                       4.56%     410.7MiB / 512MiB   80.22%    100kB / 174kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.22%     2.645MiB / 256MiB   1.03%     21.2kB / 726B   0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   7.86%     8.09MiB / 2GiB      0.40%     114kB / 101kB   0B / 4.1kB       15
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            4.31%     7.203MiB / 1GiB     0.70%     676kB / 405kB   0B / 24.6kB      12
b2e296a96561   mysql_db                                       3.76%     410.7MiB / 512MiB   80.22%    190kB / 408kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.14%     2.645MiB / 256MiB   1.03%     21.2kB / 726B   0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   4.68%     9.727MiB / 2GiB     0.47%     255kB / 253kB   0B / 4.1kB       18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     7.203MiB / 1GiB     0.70%     676kB / 405kB   0B / 24.6kB      12
b2e296a96561   mysql_db                                       1.00%     410.7MiB / 512MiB   80.22%    190kB / 408kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.22%     2.645MiB / 256MiB   1.03%     21.2kB / 726B   0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     9.75MiB / 2GiB      0.48%     255kB / 253kB   0B / 4.1kB       18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.11%     7.203MiB / 1GiB     0.70%     676kB / 405kB   0B / 24.6kB      12
b2e296a96561   mysql_db                                       1.03%     410.7MiB / 512MiB   80.22%    190kB / 408kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.25%     2.645MiB / 256MiB   1.03%     21.2kB / 726B   0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     9.75MiB / 2GiB      0.48%     255kB / 253kB   0B / 8.19kB      18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     7.203MiB / 1GiB     0.70%     676kB / 405kB   0B / 24.6kB      12
b2e296a96561   mysql_db                                       0.49%     410.7MiB / 512MiB   80.22%    190kB / 408kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.13%     2.645MiB / 256MiB   1.03%     21.4kB / 726B   0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     9.75MiB / 2GiB      0.48%     255kB / 253kB   0B / 8.19kB      18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     7.203MiB / 1GiB     0.70%     677kB / 405kB   0B / 24.6kB      12
b2e296a96561   mysql_db                                       0.98%     410.7MiB / 512MiB   80.22%    191kB / 408kB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.24%     2.645MiB / 256MiB   1.03%     22kB / 726B     0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     9.75MiB / 2GiB      0.48%     256kB / 253kB   0B / 8.19kB      18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O        PIDS
5cff13a5cff0   app                                            14.69%    12.09MiB / 1GiB     1.18%     1.32MB / 792kB   0B / 24.6kB      14
b2e296a96561   mysql_db                                       11.09%    410.7MiB / 512MiB   80.22%    343kB / 794kB    459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.11%     2.645MiB / 256MiB   1.03%     22kB / 726B      0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   16.01%    20.59MiB / 2GiB     1.01%     491kB / 506kB    0B / 8.19kB      18
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            17.06%    17.02MiB / 1GiB     1.66%     3.24MB / 1.96MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       13.10%    410.7MiB / 512MiB   80.22%    804kB / 1.96MB    459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.18%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
